# index, I_solution, Q_solution, I_inverted, Q_inverted
 0 , 9.99865330e-01 , 2.60631646e-06 , 9.99983370e-01 , 1.89829622e-09
 1 , 9.99842710e-01 , -1.27692678e-05 , 9.99982493e-01 , 1.99850162e-09
 2 , 9.99828728e-01 , -1.89154796e-05 , 9.99981543e-01 , 2.10690531e-09
 3 , 9.99833836e-01 , -5.31177800e-06 , 9.99980513e-01 , 2.22443263e-09
 4 , 9.99841631e-01 , 1.17146261e-05 , 9.99979394e-01 , 2.35214419e-09
 5 , 9.99829162e-01 , 9.30101907e-06 , 9.99978176e-01 , 2.49126054e-09
 6 , 9.99803929e-01 , -4.95133111e-06 , 9.99976845e-01 , 2.64319221e-09
 7 , 9.99811321e-01 , 1.44655832e-05 , 9.99975387e-01 , 2.80957665e-09
 8 , 9.99788911e-01 , 5.26289218e-06 , 9.99973786e-01 , 2.99232399e-09
 9 , 9.99761988e-01 , -7.11038617e-06 , 9.99972022e-01 , 3.19367387e-09
 10 , 9.99747642e-01 , -5.37217260e-06 , 9.99970072e-01 , 3.41626692e-09
 11 , 9.99739642e-01 , 4.47193370e-06 , 9.99967909e-01 , 3.66323517e-09
 12 , 9.99716689e-01 , 1.39286157e-06 , 9.99965499e-01 , 3.93831745e-09
 13 , 9.99682031e-01 , -1.10375297e-05 , 9.99962803e-01 , 4.24600825e-09
 14 , 9.99677158e-01 , 9.06238634e-06 , 9.99959774e-01 , 4.59175168e-09
 15 , 9.99618172e-01 , -2.17244968e-05 , 9.99956354e-01 , 4.98219705e-09
 16 , 9.99613675e-01 , 5.79281431e-06 , 9.99952469e-01 , 5.42554034e-09
 17 , 9.99576789e-01 , 5.47239579e-06 , 9.99948033e-01 , 5.93198647e-09
 18 , 9.99534221e-01 , 4.94708205e-06 , 9.99942930e-01 , 6.51438544e-09
 19 , 9.99479158e-01 , -1.39911030e-06 , 9.99937016e-01 , 7.18942691e-09
 20 , 9.99425542e-01 , 1.88273736e-06 , 9.99930105e-01 , 7.97829628e-09
 21 , 9.99351853e-01 , -4.68071290e-06 , 9.99921920e-01 , 8.91245076e-09
 22 , 9.99270201e-01 , -6.00291901e-06 , 9.99911848e-01 , 1.00621009e-08
 23 , 9.99163336e-01 , -1.32532542e-05 , 9.99896996e-01 , 1.17571825e-08
 24 , 9.99024307e-01 , -1.04188017e-05 , 9.99858533e-01 , 1.61468875e-08
 25 , 9.98735551e-01 , 8.10212334e-06 , 9.99676859e-01 , 3.68771344e-08
 26 , 9.97586145e-01 , -2.11798830e-06 , 9.98676937e-01 , 1.50858030e-07
 27 , 9.92418263e-01 , -6.87207254e-06 , 9.93589069e-01 , 7.27916190e-07
 28 , 9.70939603e-01 , 6.07272208e-06 , 9.71802243e-01 , 3.15460352e-06
 29 , 9.01967259e-01 , 2.83787803e-06 , 9.01756218e-01 , 1.06757113e-05
 30 , 7.53171330e-01 , 1.77686635e-05 , 7.51648643e-01 , 2.61091336e-05
 31 , 5.49505972e-01 , 4.17154439e-05 , 5.47690096e-01 , 4.56576046e-05
 32 , 3.63651496e-01 , 4.23771971e-05 , 3.62423184e-01 , 5.92074844e-05
 33 , 2.34672520e-01 , 5.21274262e-05 , 2.34023484e-01 , 5.72257222e-05
 34 , 1.56989323e-01 , 2.97135788e-05 , 1.56686853e-01 , 3.26121940e-05
 35 , 1.12864644e-01 , -1.35742983e-05 , 1.12733056e-01 , -1.64128935e-05
 36 , 8.82172463e-02 , -7.33047270e-05 , 8.81702521e-02 , -8.14213186e-05
 37 , 7.44906878e-02 , -1.16677945e-04 , 7.44697232e-02 , -1.47258910e-04
 38 , 6.69416877e-02 , -1.68335115e-04 , 6.69458637e-02 , -2.00762672e-04
 39 , 6.31586826e-02 , -2.02737127e-04 , 6.31772703e-02 , -2.34654373e-04
 40 , 6.20129083e-02 , -2.08830597e-04 , 6.20303942e-02 , -2.46161798e-04
 41 , 6.31635493e-02 , -1.97870366e-04 , 6.31772703e-02 , -2.34654373e-04
 42 , 6.69432465e-02 , -1.66776298e-04 , 6.69458637e-02 , -2.00762672e-04
 43 , 7.44867650e-02 , -1.20600715e-04 , 7.44697232e-02 , -1.47258910e-04
 44 , 8.82039146e-02 , -8.66363907e-05 , 8.81702521e-02 , -8.14213186e-05
 45 , 1.12863364e-01 , -1.48542395e-05 , 1.12733056e-01 , -1.64128935e-05
 46 , 1.56978842e-01 , 1.92332119e-05 , 1.56686853e-01 , 3.26121940e-05
 47 , 2.34666651e-01 , 4.62585001e-05 , 2.34023484e-01 , 5.72257222e-05
 48 , 3.63648449e-01 , 3.93308053e-05 , 3.62423184e-01 , 5.92074844e-05
 49 , 5.49506955e-01 , 4.26975725e-05 , 5.47690096e-01 , 4.56576046e-05
 50 , 7.53178181e-01 , 2.46196343e-05 , 7.51648643e-01 , 2.61091336e-05
 51 , 9.02001310e-01 , 3.68890976e-05 , 9.01756218e-01 , 1.06757113e-05
 52 , 9.70942820e-01 , 9.28985137e-06 , 9.71802243e-01 , 3.15460352e-06
 53 , 9.92420446e-01 , -4.68882092e-06 , 9.93589069e-01 , 7.27916190e-07
 54 , 9.97590984e-01 , 2.72064640e-06 , 9.98676937e-01 , 1.50858030e-07
 55 , 9.98721850e-01 , -5.59857923e-06 , 9.99676859e-01 , 3.68771344e-08
 56 , 9.99024603e-01 , -1.01231125e-05 , 9.99858533e-01 , 1.61468875e-08
 57 , 9.99178874e-01 , 2.28438835e-06 , 9.99896996e-01 , 1.17571825e-08
 58 , 9.99253265e-01 , -2.29393289e-05 , 9.99911848e-01 , 1.00621009e-08
 59 , 9.99337933e-01 , -1.86007443e-05 , 9.99921920e-01 , 8.91245076e-09
 60 , 9.99433151e-01 , 9.49194358e-06 , 9.99930105e-01 , 7.97829628e-09
 61 , 9.99480648e-01 , 9.10442030e-08 , 9.99937016e-01 , 7.18942691e-09
 62 , 9.99525530e-01 , -3.74395304e-06 , 9.99942930e-01 , 6.51438544e-09
 63 , 9.99576931e-01 , 5.61523613e-06 , 9.99948033e-01 , 5.93198647e-09
 64 , 9.99599362e-01 , -8.51956662e-06 , 9.99952469e-01 , 5.42554034e-09
 65 , 9.99638204e-01 , -1.69263195e-06 , 9.99956354e-01 , 4.98219705e-09
 66 , 9.99689880e-01 , 2.17845605e-05 , 9.99959774e-01 , 4.59175168e-09
 67 , 9.99690369e-01 , -2.69950889e-06 , 9.99962803e-01 , 4.24600825e-09
 68 , 9.99717077e-01 , 1.78112319e-06 , 9.99965499e-01 , 3.93831745e-09
 69 , 9.99749434e-01 , 1.42644263e-05 , 9.99967909e-01 , 3.66323517e-09
 70 , 9.99766033e-01 , 1.30187124e-05 , 9.99970072e-01 , 3.41626692e-09
 71 , 9.99778241e-01 , 9.14273050e-06 , 9.99972022e-01 , 3.19367387e-09
 72 , 9.99784087e-01 , 4.38710979e-07 , 9.99973786e-01 , 2.99232399e-09
 73 , 9.99795082e-01 , -1.77287196e-06 , 9.99975387e-01 , 2.80957665e-09
 74 , 9.99799748e-01 , -9.13191399e-06 , 9.99976845e-01 , 2.64319221e-09
 75 , 9.99824115e-01 , 4.25413487e-06 , 9.99978176e-01 , 2.49126054e-09
 76 , 9.99837055e-01 , 7.13856630e-06 , 9.99979394e-01 , 2.35214419e-09
 77 , 9.99819734e-01 , -1.94136762e-05 , 9.99980513e-01 , 2.22443263e-09
 78 , 9.99846052e-01 , -1.59102930e-06 , 9.99981543e-01 , 2.10690531e-09
 79 , 9.99848858e-01 , -6.62196464e-06 , 9.99982493e-01 , 1.99850162e-09
 80 , 9.99864867e-01 , 2.14332136e-06 , 9.99983370e-01 , 1.89829622e-09
